region_code,amount,am_per
22,9371,4
1,1379,3
2,17926,4
3,4292,4
4,718,3
5,4749,2
6,766,2
7,2508,3
8,965,4
9,1287,3
10,2348,4
11,3901,5
12,2453,4
13,3729,5
14,4517,5
15,2265,3
16,18716,5
17,1034,3
18,6777,5
19,1959,4
20,1620,1
21,5656,5
23,26834,5
24,15873,6
25,9236,5
26,10621,4
27,9814,7
28,4314,5
29,4559,4
30,4066,4
31,6231,4
32,4633,4
33,5676,4
34,9753,4
35,4752,4
36,15576,7
37,3688,4
38,11074,5
39,3988,4
40,4650,5
41,1486,5
42,11341,4
43,5475,4
44,3315,5
45,3195,4
46,5034,5
47,34,0
48,4656,4
49,1241,9
51,3603,5
52,19337,6
53,2465,4
54,32866,12
55,8388,4
56,8498,4
57,3395,5
58,5444,4
59,10068,4
60,2437,4
61,19745,5
62,4941,4
63,26039,8
64,10156,4
65,2231,5
66,27512,6
67,3929,4
68,4168,4
69,230,0
70,4166,4
71,7037,5
72,17509,5
73,5764,5
74,14328,4
75,3933,4
76,239,0
77,213973,17
78,42132,8
79,555,4
87,0,0
92,32,0
97,5463,0
50,124818,17
81,10068,4
83,7,4
85,11074,5
86,28530,4
91,3988,4
99,213973,17
89,2500,4
0,0,0
